,timestamp,price,prediction,signal,signal_strength
0,2025-09-11 07:24:29.952286,49878.48359322782,0.0,0,0.0
1,2025-09-11 07:25:29.952286,49842.2446601966,0.0,0,0.0
2,2025-09-11 07:26:29.952286,49922.20414302719,0.0,0,0.0
3,2025-09-11 07:27:29.952286,49979.31355047698,0.0,0,0.0
4,2025-09-11 07:28:29.952286,49867.26176970547,0.0,0,0.0
5,2025-09-11 07:29:29.952286,49765.183265131076,0.0,0,0.0
6,2025-09-11 07:30:29.952286,49738.60997233336,0.0,0,0.0
7,2025-09-11 07:31:29.952286,49756.544873343555,0.0,0,0.0
8,2025-09-11 07:32:29.952286,49757.74785901084,0.0,0,0.0
9,2025-09-11 07:33:29.952286,49707.292890787074,0.0,0,0.0
10,2025-09-11 07:34:29.952286,49607.4174586925,0.0,0,0.0
11,2025-09-11 07:35:29.952286,49650.43011311244,0.0,0,0.0
12,2025-09-11 07:36:29.952286,49631.13804243321,0.0,0,0.0
13,2025-09-11 07:37:29.952286,49689.2150250831,0.0,0,0.0
14,2025-09-11 07:38:29.952286,49685.61171538947,0.0,0,0.0
15,2025-09-11 07:39:29.952286,49554.92055180054,0.0,0,0.0
16,2025-09-11 07:40:29.952286,49570.90462164885,0.0,0,0.0
17,2025-09-11 07:41:29.952286,49667.81079705354,0.0,0,0.0
18,2025-09-11 07:42:29.952286,49657.21559910428,0.0,0,0.0
19,2025-09-11 07:43:29.952286,49618.90807419118,0.28123188312554853,0,0.0
20,2025-09-11 07:44:29.952286,49538.806925698445,0.9391214819982114,1,0.9391214819982114
21,2025-09-11 07:45:29.952286,49533.57803934488,0.9063134336503513,1,0.9063134336503513
22,2025-09-11 07:46:29.952286,49528.396957937395,0.892260745122115,1,0.892260745122115
23,2025-09-11 07:47:29.952286,49483.886168337034,1.0,1,1.0
24,2025-09-11 07:48:29.952286,49469.0573479845,1.0,1,1.0
25,2025-09-11 07:49:29.952286,49541.65492493848,0.2696739271168146,0,0.0
26,2025-09-11 07:50:29.952286,49581.44179570655,0.10977880994901214,0,0.0
27,2025-09-11 07:51:29.952286,49589.5591234699,0.05442017973255231,0,0.0
28,2025-09-11 07:52:29.952286,49575.94306942013,0.08185716083556104,0,0.0
29,2025-09-11 07:53:29.952286,49608.550378775675,-0.09402387486828903,0,0.0
30,2025-09-11 07:54:29.952286,49487.810928019906,0.9383791590106368,1,0.9383791590106368
31,2025-09-11 07:55:29.952286,49445.18274088325,1.0,1,1.0
32,2025-09-11 07:56:29.952286,49350.34571028304,1.0,1,1.0
33,2025-09-11 07:57:29.952286,49306.135696519654,1.0,1,1.0
34,2025-09-11 07:58:29.952286,49268.47802599696,1.0,1,1.0
35,2025-09-11 07:59:29.952286,49297.8712419301,1.0,1,1.0
36,2025-09-11 08:00:29.952286,49258.97747423527,1.0,1,1.0
37,2025-09-11 08:01:29.952286,49219.78429459303,1.0,1,1.0
